O3 absorption data from JPL 2006
wl	wu	wc	293-298K	218K
647.500	652.500	650.000	2.510E-01	2.510E-01
652.500	657.500	655.000	2.310E-01	2.310E-01
657.500	662.500	660.000	2.100E-01	2.100E-01
662.500	667.500	665.000	1.900E-01	1.900E-01
667.500	672.500	670.000	1.700E-01	1.700E-01
672.500	677.500	675.000	1.510E-01	1.510E-01
677.500	682.500	680.000	1.370E-01	1.370E-01
682.500	687.500	685.000	1.260E-01	1.260E-01
687.500	692.500	690.000	1.130E-01	1.130E-01
692.500	697.500	695.000	9.890E-02	9.890E-02
697.500	702.500	700.000	8.680E-02	8.680E-02
702.500	707.500	705.000	7.840E-02	7.840E-02
707.500	712.500	710.000	7.310E-02	7.310E-02
712.500	717.500	715.000	6.960E-02	6.960E-02
717.500	722.500	720.000	6.220E-02	6.220E-02
722.500	727.500	725.000	5.430E-02	5.430E-02
727.500	732.500	730.000	4.780E-02	4.780E-02
732.500	737.500	735.000	4.420E-02	4.420E-02
737.500	742.500	740.000	4.320E-02	4.320E-02
742.500	747.500	745.000	4.470E-02	4.470E-02
747.500	752.500	750.000	4.250E-02	4.250E-02
752.500	757.500	755.000	3.380E-02	3.380E-02
757.500	762.500	760.000	2.860E-02	2.860E-02
762.500	767.500	765.000	2.620E-02	2.620E-02
767.500	772.500	770.000	2.600E-02	2.600E-02
772.500	777.500	775.000	2.940E-02	2.940E-02
777.500	782.500	780.000	3.180E-02	3.180E-02
782.500	787.500	785.000	2.620E-02	2.620E-02
787.500	792.500	790.000	2.080E-02	2.080E-02
792.500	797.500	795.000	1.730E-02	1.730E-02
797.500	802.500	800.000	1.570E-02	1.570E-02
802.500	807.500	805.000	1.560E-02	1.560E-02
807.500	812.500	810.000	1.860E-02	1.860E-02
812.500	817.500	815.000	2.210E-02	2.210E-02
817.500	822.500	820.000	2.060E-02	2.060E-02
822.500	827.500	825.000	1.450E-02	1.450E-02
