downloaded from Max Planck web site http://www.atmosphere.mpg.de/enid/2295 
on 3 March 2010 by S. Madronich
Structure:	O3
346.88    4.29521e-22
346.89    4.30044e-22
346.90    4.31585e-22
346.91    4.31395e-22
346.92    4.33349e-22
346.93    4.35125e-22
346.94    4.37099e-22
346.95    4.39907e-22
346.96    4.41772e-22
346.97    4.44834e-22
346.98    4.47952e-22
346.99    4.53753e-22
347.00    4.60863e-22
347.01    4.66999e-22
347.02    4.73437e-22
347.03    4.82239e-22
347.04    4.90799e-22
347.05    4.99044e-22
347.06    5.05401e-22
347.07    5.12711e-22
347.08    5.19597e-22
347.09    5.26548e-22
347.10    5.31840e-22
347.11    5.36017e-22
347.12    5.39495e-22
347.13    5.41527e-22
347.14    5.42167e-22
347.15    5.44078e-22
347.16    5.46404e-22
347.17    5.46960e-22
347.18    5.45737e-22
347.19    5.44953e-22
347.20    5.44758e-22
347.21    5.44532e-22
347.22    5.44177e-22
347.23    5.43611e-22
347.24    5.43466e-22
347.25    5.40761e-22
347.26    5.39329e-22
347.27    5.37252e-22
347.28    5.36589e-22
347.29    5.36107e-22
347.30    5.33092e-22
347.31    5.30236e-22
347.32    5.28872e-22
347.33    5.26462e-22
347.34    5.24956e-22
347.35    5.22771e-22
347.36    5.21335e-22
347.37    5.18663e-22
347.38    5.14020e-22
347.39    5.10108e-22
347.40    5.07398e-22
347.41    5.05079e-22
347.42    5.00912e-22
347.43    4.98282e-22
347.44    4.97895e-22
347.45    4.94894e-22
347.46    4.91398e-22
347.47    4.87272e-22
347.48    4.84551e-22
347.49    4.79135e-22
347.50    4.73683e-22
347.51    4.70236e-22
347.52    4.67528e-22
347.53    4.63965e-22
347.54    4.61120e-22
347.55    4.60009e-22
347.56    4.56522e-22
347.57    4.52380e-22
347.58    4.47672e-22
347.59    4.43827e-22
347.60    4.40985e-22
347.61    4.36703e-22
347.62    4.32802e-22
347.63    4.28816e-22
347.64    4.22380e-22
347.65    4.18658e-22
347.66    4.14679e-22
347.67    4.12494e-22
347.68    4.11592e-22
347.69    4.08762e-22
347.70    4.07499e-22
347.71    4.03520e-22
347.72    3.98993e-22
347.73    3.96149e-22
347.74    3.94127e-22
347.75    3.91301e-22
347.76    3.88768e-22
347.77    3.86098e-22
347.78    3.83065e-22
347.79    3.79825e-22
347.80    3.73826e-22
347.81    3.70244e-22
347.82    3.67416e-22
347.83    3.64125e-22
347.84    3.62251e-22
347.85    3.59254e-22
347.86    3.57981e-22
347.87    3.57440e-22
347.88    3.53546e-22
347.89    3.50680e-22
347.90    3.46859e-22
347.91    3.44362e-22
347.92    3.40959e-22
347.93    3.39328e-22
347.94    3.38968e-22
347.95    3.39392e-22
347.96    3.36909e-22
347.97    3.34241e-22
347.98    3.29398e-22
347.99    3.26158e-22
348.00    3.26722e-22
348.01    3.24619e-22
348.02    3.23854e-22
348.03    3.25004e-22
348.04    3.23143e-22
348.05    3.20292e-22
348.06    3.15861e-22
348.07    3.13836e-22
348.08    3.13123e-22
348.09    3.09928e-22
348.10    3.09539e-22
348.11    3.09398e-22
348.12    3.07548e-22
348.13    3.04955e-22
348.14    3.03946e-22
348.15    3.00409e-22
348.16    2.96774e-22
348.17    2.95517e-22
348.18    2.94011e-22
348.19    2.93794e-22
348.20    2.92003e-22
348.21    2.91781e-22
348.22    2.90640e-22
348.23    2.87418e-22
348.24    2.83749e-22
348.25    2.81007e-22
348.26    2.78977e-22
348.27    2.77918e-22
348.28    2.75388e-22
348.29    2.75393e-22
348.30    2.74653e-22
348.31    2.74041e-22
348.32    2.72735e-22
348.33    2.71335e-22
348.34    2.69982e-22
348.35    2.70172e-22
348.36    2.69294e-22
348.37    2.69252e-22
348.38    2.69843e-22
348.39    2.69768e-22
348.40    2.69814e-22
348.41    2.67847e-22
348.42    2.68144e-22
348.43    2.68854e-22
348.44    2.67570e-22
348.45    2.69185e-22
348.46    2.69465e-22
348.47    2.70669e-22
348.48    2.71144e-22
348.49    2.71148e-22
348.50    2.70831e-22
348.51    2.71231e-22
348.52    2.69411e-22
348.53    2.73049e-22
348.54    2.74443e-22
348.55    2.78124e-22
348.56    2.80702e-22
348.57    2.82440e-22
348.58    2.84234e-22
348.59    2.85396e-22
348.60    2.84364e-22
348.61    2.87158e-22
348.62    2.87487e-22
348.63    2.88369e-22
348.64    2.91202e-22
348.65    2.91737e-22
348.66    2.92507e-22
348.67    2.90406e-22
348.68    2.90006e-22
348.69    2.89566e-22
348.70    2.86746e-22
348.71    2.84510e-22
348.72    2.85620e-22
348.73    2.87104e-22
348.74    2.88021e-22
348.75    2.88072e-22
348.76    2.88685e-22
348.77    2.86855e-22
348.78    2.86117e-22
348.79    2.85026e-22
348.80    2.82231e-22
348.81    2.81700e-22
348.82    2.80916e-22
348.83    2.79215e-22
348.84    2.78095e-22
348.85    2.74879e-22
348.86    2.74424e-22
348.87    2.73600e-22
348.88    2.69686e-22
348.89    2.69574e-22
348.90    2.68748e-22
348.91    2.69154e-22
348.92    2.68115e-22
348.93    2.66098e-22
348.94    2.64645e-22
348.95    2.62871e-22
348.96    2.58813e-22
348.97    2.56092e-22
348.98    2.54964e-22
348.99    2.57258e-22
349.00    2.55460e-22
349.01    2.55457e-22
349.02    2.54060e-22
349.03    2.51291e-22
349.04    2.48300e-22
349.05    2.46697e-22
349.06    2.48158e-22
349.07    2.50630e-22
349.08    2.50510e-22
349.09    2.51808e-22
349.10    2.52534e-22
349.11    2.51453e-22
349.12    2.49229e-22
349.13    2.49288e-22
349.14    2.49942e-22
349.15    2.48834e-22
349.16    2.46427e-22
349.17    2.46078e-22
349.18    2.47434e-22
349.19    2.48450e-22
349.20    2.49085e-22
349.21    2.50612e-22
349.22    2.53920e-22
349.23    2.57826e-22
349.24    2.60264e-22
349.25    2.63479e-22
349.26    2.67981e-22
349.27    2.71745e-22
349.28    2.77392e-22
349.29    2.81845e-22
349.30    2.89467e-22
349.31    2.95133e-22
349.32    3.01655e-22
349.33    3.10143e-22
349.34    3.16301e-22
349.35    3.21336e-22
349.36    3.28231e-22
349.37    3.35111e-22
349.38    3.41007e-22
349.39    3.45446e-22
349.40    3.51831e-22
349.41    3.60211e-22
349.42    3.64175e-22
349.43    3.66162e-22
349.44    3.69930e-22
349.45    3.71838e-22
349.46    3.73253e-22
349.47    3.72252e-22
349.48    3.71529e-22
349.49    3.72863e-22
349.50    3.73925e-22
349.51    3.76483e-22
349.52    3.77196e-22
349.53    3.79543e-22
349.54    3.79229e-22
349.55    3.77133e-22
349.56    3.76233e-22
349.57    3.75695e-22
349.58    3.74145e-22
349.59    3.73924e-22
349.60    3.69771e-22
349.61    3.70640e-22
349.62    3.67115e-22
349.63    3.64815e-22
349.64    3.64595e-22
349.65    3.64322e-22
349.66    3.62209e-22
349.67    3.58874e-22
349.68    3.56489e-22
349.69    3.54846e-22
349.70    3.50599e-22
349.71    3.46989e-22
349.72    3.44858e-22
349.73    3.43819e-22
349.74    3.44525e-22
349.75    3.42815e-22
349.76    3.40322e-22
349.77    3.36967e-22
349.78    3.31117e-22
349.79    3.26805e-22
349.80    3.24903e-22
349.81    3.25052e-22
349.82    3.26164e-22
349.83    3.24151e-22
349.84    3.21013e-22
349.85    3.17841e-22
349.86    3.11246e-22
349.87    3.09021e-22
349.88    3.09296e-22
349.89    3.10700e-22
349.90    3.10388e-22
349.91    3.08841e-22
349.92    3.09735e-22
349.93    3.09017e-22
349.94    3.08200e-22
349.95    3.04593e-22
349.96    2.99437e-22
349.97    2.95381e-22
349.98    2.89131e-22
349.99    2.86099e-22
350.00    2.86746e-22
350.01    2.88132e-22
350.02    2.91857e-22
350.03    2.90586e-22
350.04    2.88356e-22
350.05    2.88062e-22
350.06    2.86439e-22
350.07    2.87116e-22
350.08    2.87797e-22
350.09    2.90198e-22
350.10    2.93019e-22
350.11    2.95303e-22
350.12    2.98089e-22
350.13    3.01385e-22
350.14    3.01035e-22
350.15    3.01019e-22
350.16    2.97685e-22
350.17    2.96689e-22
350.18    2.94394e-22
350.19    2.93092e-22
350.20    2.94228e-22
350.21    2.94559e-22
350.22    2.94835e-22
350.23    2.95878e-22
350.24    2.94733e-22
350.25    2.96154e-22
350.26    2.96663e-22
350.27    2.96163e-22
350.28    2.95193e-22
350.29    2.92737e-22
350.30    2.89576e-22
350.31    2.89246e-22
350.32    2.86134e-22
350.33    2.85240e-22
350.34    2.84908e-22
350.35    2.82289e-22
350.36    2.78159e-22
350.37    2.74461e-22
350.38    2.73007e-22
350.39    2.74223e-22
350.40    2.73995e-22
350.41    2.73880e-22
350.42    2.74835e-22
350.43    2.73490e-22
350.44    2.71440e-22
350.45    2.70696e-22
350.46    2.71952e-22
350.47    2.69286e-22
350.48    2.68706e-22
350.49    2.64775e-22
350.50    2.62366e-22
350.51    2.61393e-22
350.52    2.58115e-22
350.53    2.56911e-22
350.54    2.57058e-22
350.55    2.55874e-22
350.56    2.56342e-22
350.57    2.54913e-22
350.58    2.51788e-22
350.59    2.50367e-22
350.60    2.47002e-22
350.61    2.44863e-22
350.62    2.44211e-22
350.63    2.43942e-22
350.64    2.44254e-22
350.65    2.43423e-22
350.66    2.42591e-22
350.67    2.40962e-22
350.68    2.39827e-22
350.69    2.38648e-22
350.70    2.39887e-22
350.71    2.37197e-22
350.72    2.36873e-22
350.73    2.35051e-22
350.74    2.35062e-22
350.75    2.34610e-22
350.76    2.35132e-22
350.77    2.34212e-22
350.78    2.34197e-22
350.79    2.31600e-22
350.80    2.29345e-22
350.81    2.26942e-22
350.82    2.26997e-22
350.83    2.29638e-22
350.84    2.31411e-22
350.85    2.29659e-22
350.86    2.29307e-22
350.87    2.28607e-22
350.88    2.23770e-22
350.89    2.21803e-22
350.90    2.20780e-22
350.91    2.21820e-22
350.92    2.20576e-22
350.93    2.21688e-22
350.94    2.22662e-22
350.95    2.23292e-22
350.96    2.22750e-22
350.97    2.22807e-22
350.98    2.23549e-22
350.99    2.25907e-22
351.00    2.27700e-22
351.01    2.31929e-22
351.02    2.34722e-22
351.03    2.35533e-22
351.04    2.35062e-22
351.05    2.34863e-22
351.06    2.36238e-22
351.07    2.37995e-22
351.08    2.40864e-22
351.09    2.43969e-22
351.10    2.46898e-22
351.11    2.48526e-22
351.12    2.50341e-22
351.13    2.54588e-22
351.14    2.58912e-22
351.15    2.65797e-22
351.16    2.72807e-22
351.17    2.80283e-22
351.18    2.87288e-22
351.19    2.95832e-22
351.20    3.02303e-22
351.21    3.10931e-22
351.22    3.20998e-22
351.23    3.31690e-22
351.24    3.39702e-22
351.25    3.47940e-22
351.26    3.55681e-22
351.27    3.62718e-22
351.28    3.67089e-22
351.29    3.71648e-22
351.30    3.77522e-22
351.31    3.82935e-22
351.32    3.85533e-22
351.33    3.89777e-22
351.34    3.94051e-22
351.35    3.96182e-22
351.36    3.97786e-22
351.37    3.97525e-22
351.38    3.99095e-22
351.39    3.98988e-22
351.40    3.99425e-22
351.41    4.02955e-22
351.42    4.06196e-22
351.43    4.07512e-22
351.44    4.08083e-22
351.45    4.08088e-22
351.46    4.07144e-22
351.47    4.04225e-22
351.48    4.02076e-22
351.49    4.01962e-22
351.50    4.00232e-22
351.51    3.99844e-22
351.52    3.97619e-22
351.53    3.96382e-22
351.54    3.93737e-22
351.55    3.92890e-22
351.56    3.91465e-22
351.57    3.91311e-22
351.58    3.88090e-22
351.59    3.88496e-22
351.60    3.86806e-22
351.61    3.84101e-22
351.62    3.80721e-22
351.63    3.80117e-22
351.64    3.78919e-22
351.65    3.77565e-22
351.66    3.74662e-22
351.67    3.71526e-22
351.68    3.67339e-22
351.69    3.62285e-22
351.70    3.59975e-22
351.71    3.58432e-22
351.72    3.57039e-22
351.73    3.56757e-22
351.74    3.56476e-22
351.75    3.54618e-22
351.76    3.51692e-22
351.77    3.48114e-22
351.78    3.45491e-22
351.79    3.39985e-22
351.80    3.34440e-22
351.81    3.30471e-22
351.82    3.27502e-22
351.83    3.24742e-22
351.84    3.23596e-22
351.85    3.22215e-22
351.86    3.21546e-22
351.87    3.18511e-22
351.88    3.15623e-22
351.89    3.14382e-22
351.90    3.13419e-22
351.91    3.10529e-22
351.92    3.11427e-22
351.93    3.09368e-22
351.94    3.06386e-22
351.95    3.01713e-22
351.96    2.99021e-22
351.97    2.95883e-22
351.98    2.93365e-22
351.99    2.90555e-22
352.00    2.90577e-22
352.01    2.89992e-22
352.02    2.87993e-22
352.03    2.86811e-22
352.04    2.85665e-22
352.05    2.83363e-22
352.06    2.80203e-22
352.07    2.77110e-22
352.08    2.75340e-22
352.09    2.73125e-22
352.10    2.70512e-22
352.11    2.70039e-22
352.12    2.70927e-22
352.13    2.71959e-22
352.14    2.70308e-22
352.15    2.69530e-22
352.16    2.66854e-22
352.17    2.62571e-22
352.18    2.59947e-22
352.19    2.58873e-22
352.20    2.60321e-22
352.21    2.58319e-22
352.22    2.56980e-22
352.23    2.57112e-22
352.24    2.55516e-22
352.25    2.56121e-22
352.26    2.57681e-22
352.27    2.57540e-22
352.28    2.58922e-22
352.29    2.57539e-22
352.30    2.56947e-22
352.31    2.57153e-22
352.32    2.57343e-22
352.33    2.57169e-22
352.34    2.57328e-22
352.35    2.56658e-22
352.36    2.57794e-22
352.37    2.59079e-22
352.38    2.60836e-22
352.39    2.64167e-22
352.40    2.69032e-22
352.41    2.71932e-22
352.42    2.75615e-22
352.43    2.78046e-22
352.44    2.79493e-22
352.45    2.80182e-22
352.46    2.80179e-22
352.47    2.81946e-22
352.48    2.83713e-22
352.49    2.84405e-22
352.50    2.86044e-22
352.51    2.86145e-22
352.52    2.88312e-22
352.53    2.89418e-22
352.54    2.90768e-22
352.55    2.92033e-22
352.56    2.92991e-22
352.57    2.92764e-22
352.58    2.92457e-22
352.59    2.90795e-22
352.60    2.90810e-22
352.61    2.88535e-22
352.62    2.86033e-22
352.63    2.83245e-22
352.64    2.83980e-22
352.65    2.82802e-22
352.66    2.82906e-22
352.67    2.83412e-22
352.68    2.82141e-22
352.69    2.79374e-22
352.70    2.76144e-22
352.71    2.73492e-22
352.72    2.72304e-22
352.73    2.68344e-22
352.74    2.66061e-22
352.75    2.65340e-22
352.76    2.63569e-22
352.77    2.61876e-22
352.78    2.61005e-22
352.79    2.59665e-22
352.80    2.57733e-22
352.81    2.53566e-22
352.82    2.50529e-22
352.83    2.49645e-22
352.84    2.47897e-22
352.85    2.47233e-22
352.86    2.47178e-22
352.87    2.45705e-22
352.88    2.43774e-22
352.89    2.40912e-22
352.90    2.38201e-22
352.91    2.37074e-22
352.92    2.34235e-22
352.93    2.32396e-22
352.94    2.31356e-22
352.95    2.30012e-22
352.96    2.28401e-22
352.97    2.26576e-22
352.98    2.25221e-22
352.99    2.24617e-22
353.00    2.22397e-22
353.01    2.20208e-22
353.02    2.19215e-22
353.03    2.17398e-22
353.04    2.14320e-22
353.05    2.11954e-22
353.06    2.09639e-22
353.07    2.08042e-22
353.08    2.06560e-22
353.09    2.05803e-22
353.10    2.05250e-22
353.11    2.04606e-22
353.12    2.02152e-22
353.13    2.02670e-22
353.14    2.01579e-22
353.15    2.01200e-22
353.16    2.01193e-22
353.17    2.01527e-22
353.18    2.01197e-22
353.19    2.00959e-22
353.20    1.99721e-22
353.21    1.99291e-22
353.22    1.98640e-22
353.23    1.98748e-22
353.24    1.99033e-22
353.25    1.99186e-22
353.26    1.98754e-22
353.27    1.99152e-22
353.28    1.98445e-22
353.29    1.98290e-22
353.30    1.99934e-22
353.31    2.00462e-22
353.32    2.00072e-22
353.33    1.98532e-22
353.34    1.96588e-22
353.35    1.95535e-22
353.36    1.93223e-22
353.37    1.91325e-22
353.38    1.89902e-22
353.39    1.88778e-22
353.40    1.87717e-22
353.41    1.87581e-22
353.42    1.87651e-22
353.43    1.88501e-22
353.44    1.86638e-22
353.45    1.84771e-22
353.46    1.83516e-22
353.47    1.82110e-22
353.48    1.80267e-22
353.49    1.78919e-22
353.50    1.77093e-22
353.51    1.76156e-22
353.52    1.73972e-22
353.53    1.74220e-22
353.54    1.74135e-22
353.55    1.73091e-22
353.56    1.71942e-22
353.57    1.70042e-22
353.58    1.68439e-22
353.59    1.67688e-22
353.60    1.65366e-22
353.61    1.64596e-22
353.62    1.63548e-22
353.63    1.62807e-22
353.64    1.60735e-22
353.65    1.59365e-22
353.66    1.59279e-22
353.67    1.59781e-22
353.68    1.57567e-22
353.69    1.55714e-22
353.70    1.54448e-22
353.71    1.53504e-22
353.72    1.49821e-22
353.73    1.48224e-22
353.74    1.47083e-22
353.75    1.46391e-22
353.76    1.45206e-22
353.77    1.44658e-22
353.78    1.45280e-22
353.79    1.44611e-22
353.80    1.42707e-22
353.81    1.41673e-22
353.82    1.40117e-22
353.83    1.38336e-22
353.84    1.37244e-22
353.85    1.35935e-22
353.86    1.34814e-22
353.87    1.32394e-22
353.88    1.31774e-22
353.89    1.31062e-22
353.90    1.31214e-22
353.91    1.31961e-22
353.92    1.31373e-22
353.93    1.29416e-22
353.94    1.27697e-22
353.95    1.26391e-22
353.96    1.25512e-22
353.97    1.24213e-22
353.98    1.24067e-22
353.99    1.24389e-22
354.00    1.23833e-22
354.01    1.22510e-22
354.02    1.21228e-22
354.03    1.20433e-22
354.04    1.19333e-22
354.05    1.18992e-22
354.06    1.19036e-22
354.07    1.18914e-22
354.08    1.18975e-22
354.09    1.18448e-22
354.10    1.17439e-22
354.11    1.15562e-22
354.12    1.14430e-22
354.13    1.13577e-22
354.14    1.13431e-22
354.15    1.13265e-22
354.16    1.12770e-22
354.17    1.12207e-22
354.18    1.11779e-22
354.19    1.10647e-22
354.20    1.11138e-22
354.21    1.10729e-22
354.22    1.10598e-22
354.23    1.10332e-22
354.24    1.10627e-22
354.25    1.10641e-22
354.26    1.09845e-22
354.27    1.09132e-22
354.28    1.09820e-22
354.29    1.09544e-22
354.30    1.09161e-22
354.31    1.09178e-22
354.32    1.09505e-22
354.33    1.09928e-22
354.34    1.08706e-22
354.35    1.08349e-22
354.36    1.09008e-22
354.37    1.09145e-22
354.38    1.08591e-22
354.39    1.08809e-22
354.40    1.07133e-22
354.41    1.06178e-22
354.42    1.04969e-22
354.43    1.04730e-22
354.44    1.04731e-22
354.45    1.04312e-22
354.46    1.04346e-22
354.47    1.04689e-22
354.48    1.03961e-22
354.49    1.03386e-22
354.50    1.03694e-22
354.51    1.02678e-22
354.52    1.02390e-22
354.53    1.01269e-22
354.54    1.01225e-22
354.55    1.00907e-22
354.56    1.01369e-22
354.57    1.00758e-22
354.58    1.02061e-22
354.59    1.00559e-22
354.60    1.00279e-22
354.61    1.00079e-22
354.62    1.00250e-22
354.63    1.00112e-22
354.64    1.00321e-22
354.65    9.99562e-23
354.66    1.01132e-22
354.67    9.96695e-23
354.68    9.99468e-23
354.69    1.01093e-22
354.70    1.01611e-22
354.71    1.01757e-22
354.72    1.01216e-22
354.73    1.01410e-22
354.74    1.01742e-22
354.75    1.01187e-22
354.76    1.01445e-22
354.77    1.01638e-22
354.78    1.01912e-22
354.79    1.00997e-22
354.80    1.01169e-22
354.81    1.01353e-22
354.82    1.02423e-22
354.83    1.03470e-22
354.84    1.04745e-22
354.85    1.05625e-22
354.86    1.07187e-22
354.87    1.07782e-22
354.88    1.09438e-22
354.89    1.09305e-22
354.90    1.09062e-22
354.91    1.09339e-22
354.92    1.08716e-22
354.93    1.08275e-22
354.94    1.10285e-22
354.95    1.10944e-22
354.96    1.10893e-22
354.97    1.09861e-22
354.98    1.08854e-22
354.99    1.08955e-22
355.00    1.08065e-22
355.01    1.08624e-22
355.02    1.09577e-22
355.03    1.10464e-22
355.04    1.10290e-22
355.05    1.10329e-22
355.06    1.10558e-22
355.07    1.10387e-22
355.08    1.09852e-22
355.09    1.10888e-22
355.10    1.10360e-22
355.11    1.11138e-22
355.12    1.10812e-22
355.13    1.10541e-22
355.14    1.10491e-22
355.15    1.10667e-22
355.16    1.10459e-22
355.17    1.10705e-22
355.18    1.10601e-22
355.19    1.10793e-22
355.20    1.11178e-22
355.21    1.10341e-22
355.22    1.10019e-22
355.23    1.09175e-22
355.24    1.07954e-22
355.25    1.06861e-22
355.26    1.06955e-22
355.27    1.07100e-22
355.28    1.08576e-22
355.29    1.08047e-22
355.30    1.08070e-22
355.31    1.07027e-22
355.32    1.06005e-22
355.33    1.04898e-22
355.34    1.03479e-22
355.35    1.02896e-22
355.36    1.02595e-22
355.37    1.01072e-22
355.38    1.01073e-22
355.39    1.00904e-22
355.40    1.00751e-22
355.41    1.00240e-22
355.42    1.00688e-22
355.43    1.01909e-22
355.44    1.00929e-22
355.45    1.00800e-22
355.46    9.95017e-23
355.47    9.78022e-23
355.48    9.57651e-23
355.49    9.44458e-23
355.50    9.52210e-23
355.51    9.62339e-23
355.52    9.62885e-23
355.53    9.67199e-23
355.54    9.59781e-23
355.55    9.35484e-23
355.56    9.10656e-23
355.57    8.98629e-23
355.58    8.99720e-23
355.59    9.05101e-23
355.60    9.04488e-23
355.61    9.04970e-23
355.62    9.09094e-23
355.63    8.94872e-23
355.64    8.83323e-23
355.65    8.78492e-23
355.66    8.78448e-23
355.67    8.75745e-23
355.68    8.69734e-23
355.69    8.68661e-23
355.70    8.72878e-23
355.71    8.84948e-23
355.72    8.94491e-23
355.73    9.05421e-23
355.74    9.04761e-23
355.75    9.15153e-23
355.76    9.12788e-23
355.77    9.13979e-23
355.78    9.20586e-23
355.79    9.27190e-23
355.80    9.35571e-23
355.81    9.33215e-23
355.82    9.32622e-23
355.83    9.43729e-23
355.84    9.45186e-23
355.85    9.52625e-23
355.86    9.49445e-23
355.87    9.42493e-23
355.88    9.41653e-23
355.89    9.35913e-23
355.90    9.29963e-23
355.91    9.21154e-23
355.92    9.22925e-23
355.93    9.23937e-23
355.94    9.17795e-23
355.95    9.18885e-23
355.96    9.23031e-23
355.97    9.25005e-23
355.98    9.16622e-23
355.99    9.14053e-23
356.00    9.19445e-23
356.01    9.13879e-23
356.02    9.08492e-23
356.03    9.08759e-23
356.04    8.98861e-23
356.05    8.86465e-23
356.06    8.82836e-23
356.07    8.75093e-23
356.08    8.75832e-23
356.09    8.70627e-23
356.10    8.64159e-23
356.11    8.68583e-23
356.12    8.61391e-23
356.13    8.58621e-23
356.14    8.63713e-23
356.15    8.59680e-23
356.16    8.64568e-23
356.17    8.55997e-23
356.18    8.38706e-23
356.19    8.35070e-23
356.20    8.20393e-23
356.21    8.16773e-23
356.22    8.16937e-23
356.23    8.17837e-23
356.24    8.21479e-23
356.25    8.16525e-23
356.26    8.03444e-23
356.27    7.94984e-23
356.28    7.84753e-23
356.29    7.88034e-23
356.30    7.92787e-23
356.31    7.91084e-23
356.32    7.92345e-23
356.33    8.05418e-23
356.34    8.08050e-23
356.35    8.13128e-23
356.36    8.14651e-23
356.37    8.15706e-23
356.38    8.19073e-23
